GL Account,Group
102000,others
151580,others
101050,209-AR-Others
111202,209-AR-Others
111470,209-AR-Others
102400,others
102410,others
102420,others
141000,others
141100,others
141200,others
141301,259-AP-Others
141302,259-AP-Others
151174,259-AP-Others
162300,259-AP-Others
167500,259-AP-Others
161020,others
162020,others
162120,others
161060,others
161080,others
162060,others
133010,others
133030,others
133031,others
133034,others
151290,others
166400,others
133011,others
133013,others
133015,others
133025,others
133045,others
133030,others
1671410000,others
167150,others
167151,others
167152,others
167153,others
167155,others
167160,others
167161,others
166200,others
166201,others
166202,others
166209,others
41000,400-Equity/General
43000,others
44040,400-Equity/General
44060,400-Equity/General
44140,400-Equity/General
44150,400-Equity/General
44160,400-Equity/General
44190,others
56000,400-Equity/General
56500,others
0BSRESULT,others
213000,500-CA/EcoPeriod
213100,500-CA/EcoPeriod
213200,500-CA/EcoPeriod
211000,501-CA/Assets
214000,501-CA/Assets
133900,others
213210,others
221011,522-CA/Fairs
151171,599-CA/General
221240,599-CA/General
221530,599-CA/General
108000,600-Tax direct
151502,600-Tax direct
621001000,600-Tax direct
621004300,600-Tax direct
621011000,600-Tax direct
621014300,600-Tax direct
62600,600-Tax direct
629301000,601-deferred Tax
629311000,601-deferred Tax
629501000,601-deferred Tax
629511000,601-deferred Tax
629521000,601-deferred Tax
111300,620-Tax indirect
151040,620-Tax indirect
112020,640-Duty/Customs
151161,640-Duty/Customs
81031,640-Duty/Customs
81110,640-Duty/Customs
101400,others
141400,others
161500,others
162500,others
101410,others
101420,others
141420,others
161510,others
101430,others
123020,others
63290,others
152010,others
63020,others
63040,others
63060,others
63070,others
63280,others
81020,others
81060,others
81064,others
81066,others
81150,others
81170,others
81190,others
151180,721-Accruals/Audit
153254,721-Accruals/Audit
631501000,750-Prov./General
631504050,750-Prov./General
631504200,750-Prov./General
631701000,750-Prov./General
631704050,750-Prov./General
631704200,750-Prov./General
631704300,750-Prov./General
631711000,750-Prov./General
632001000,750-Prov./General
632001004,others
632004050,750-Prov./General
632011000,750-Prov./General
632011004,750-Prov./General
632014300,750-Prov./General
632021000,750-Prov./General
632021004,750-Prov./General
632024300,750-Prov./General
632031000,750-Prov./General
632031004,750-Prov./General
632034200,others
632034300,750-Prov./General
632041000,750-Prov./General
632044300,750-Prov./General
632051000,750-Prov./General
632051004,750-Prov./General
632301000,750-Prov./General
632304300,750-Prov./General
650501000,750-Prov./General
659501000,750-Prov./General
133031,others
133034,others
151290,others
1010900000,others
1410900000,others
1610900000,others
720390000,others
1554401000,others
1554403200,others
2829001000,others
2829003200,others
1010400000,810-SAP Re-Allocation
101110,810-SAP Re-Allocation
111270,810-SAP Re-Allocation
1410100000,810-SAP Re-Allocation
151260,810-SAP Re-Allocation
1620900000,810-SAP Re-Allocation
1112020001,820-Re-Classifications
1112020002,820-Re-Classifications
1112020003,820-Re-Classifications
1112020004,820-Re-Classifications
1112020005,820-Re-Classifications
1230100000,820-Re-Classifications
1230100001,820-Re-Classifications
1230100002,820-Re-Classifications
1230100003,820-Re-Classifications
1510200001,820-Re-Classifications
1510200005,820-Re-Classifications
1526000001,820-Re-Classifications
1526000002,820-Re-Classifications
1526000003,820-Re-Classifications
1526000004,820-Re-Classifications
1526000005,820-Re-Classifications
1666000001,820-Re-Classifications
1666000002,820-Re-Classifications
1666000003,820-Re-Classifications
1666000004,820-Re-Classifications
1666000005,820-Re-Classifications
1671510001,820-Re-Classifications
1675000003,820-Re-Classifications
111180,900-Insurances
151143,900-Insurances
151620,900-Insurances
153060,911-HR-Accrual-YE
153100,911-HR-Accrual-YE
151122,920-HR-Bonus
151129,920-HR-Bonus
111152,929-HR Others
111153,929-HR Others
111205,929-HR Others
123000,929-HR Others
123010,929-HR Others
151050,929-HR Others
151175,929-HR Others
151178,929-HR Others
151240,929-HR Others
151501,929-HR Others
151503,929-HR Others
151504,929-HR Others
151505,929-HR Others
151540,929-HR Others
153252,929-HR Others
153255,929-HR Others
153256,929-HR Others
153258,929-HR Others
153259,929-HR Others
153270,929-HR Others
12001,others
12009,others
21011,others
21019,others
24001,others
24009,others
24031,others
24039,others
24041,others
24049,others
101000,others
111202,209-AR-Others
102400,others
102410,others
102420,others
141000,others
141302,259-AP-Others
161020,others
162020,others
162120,others
162060,others
133030,others
133034,others
151290,others
167153,others
166202,others
41000,400-Equity/General
43000,others
44060,400-Equity/General
0BSRESULT,others
133900,others
108000,600-Tax direct
